title,authors,publication_year,venue,doi,pmid,arxiv_id,abstract,citation_count,source
Artificial neural networks and deep learning.,"Melvin Geubbelmans (Hasselt, Belgium, and Bialystok, Poland.); Axel-Jan Rousseau (Hasselt, Belgium, and Bialystok, Poland.); Tomasz Burzykowski (Hasselt, Belgium, and Bialystok, Poland.); Dirk Valkenborg (Hasselt, Belgium, and Bialystok, Poland.)",,"American journal of orthodontics and dentofacial orthopedics : official publication of the American Association of Orthodontists, its constituent societies, and the American Board of Orthodontics",10.1016/j.ajodo.2023.11.003,38302219,,"{'text': '', 'structured': []}",0,pubmed
Self-Replication in Neural Networks.,Thomas Gabor (LMU Munich. thomas.gabor@ifi.lmu.de.); Steffen Illium (LMU Munich.); Maximilian Zorn (LMU Munich.); Cristian Lenta (LMU Munich.); Andy Mattausch (LMU Munich.); Lenz Belzner (Technische Hochschule Ingolstadt.); Claudia Linnhoff-Popien (LMU Munich.),,Artificial life,10.1162/artl_a_00359,35727999,,"{'text': ""A key element of biological structures is self-replication. Neural networks are the prime structure used for the emergent construction of complex behavior in computers. We analyze how various network types lend themselves to self-replication. Backpropagation turns out to be the natural way to navigate the space of network weights and allows non-trivial self-replicators to arise naturally. We perform an in-depth analysis to show the self-replicators' robustness to noise. We then introduce artificial chemistry environments consisting of several neural networks and examine their emergent behavior. In extension to this work's previous version (Gabor et al., 2019), we provide an extensive analysis of the occurrence of fixpoint weight configurations within the weight space and an approximation of their respective attractor basins."", 'structured': []}",0,pubmed
Approximation capabilities of measure-preserving neural networks.,"Aiqing Zhu (LSEC, ICMSEC, Academy of Mathematics and Systems Science, Chinese Academy of Sciences, Beijing 100190, China; School of Mathematical Sciences, University of Chinese Academy of Sciences, Beijing 100049, China.); Pengzhan Jin (LSEC, ICMSEC, Academy of Mathematics and Systems Science, Chinese Academy of Sciences, Beijing 100190, China; School of Mathematical Sciences, University of Chinese Academy of Sciences, Beijing 100049, China.); Yifa Tang (LSEC, ICMSEC, Academy of Mathematics and Systems Science, Chinese Academy of Sciences, Beijing 100190, China; School of Mathematical Sciences, University of Chinese Academy of Sciences, Beijing 100049, China. Electronic address: tyf@lsec.cc.ac.cn.)",,Neural networks : the official journal of the International Neural Network Society,10.1016/j.neunet.2021.12.007,34995951,,"{'text': 'Measure-preserving neural networks are well-developed invertible models, however, their approximation capabilities remain unexplored. This paper rigorously analyzes the approximation capabilities of existing measure-preserving neural networks including NICE and RevNets. It is shown that for compact U⊂R', 'structured': []}",0,pubmed
Deep Learning for Epidemiologists: An Introduction to Neural Networks.,Stylianos Serghiou (N/A); Kathryn Rough (N/A),,American journal of epidemiology,10.1093/aje/kwad107,37139570,,"{'text': ""Deep learning methods are increasingly being applied to problems in medicine and health care. However, few epidemiologists have received formal training in these methods. To bridge this gap, this article introduces the fundamentals of deep learning from an epidemiologic perspective. Specifically, this article reviews core concepts in machine learning (e.g., overfitting, regularization, and hyperparameters); explains several fundamental deep learning architectures (convolutional neural networks, recurrent neural networks); and summarizes training, evaluation, and deployment of models. Conceptual understanding of supervised learning algorithms is the focus of the article; instructions on the training of deep learning models and applications of deep learning to causal learning are out of this article's scope. We aim to provide an accessible first step towards enabling the reader to read and assess research on the medical applications of deep learning and to familiarize readers with deep learning terminology and concepts to facilitate communication with computer scientists and machine learning engineers."", 'structured': []}",0,pubmed
Separable integral neural networks.,"Jinhua Lin (Department of Computer Application Technology, Changchun University of Technology, PR China. Electronic address: linjinhua@ccut.edu.cn.); Xin Li (Department of Computer Application Technology, Changchun University of Technology, PR China.); Lin Ma (First Automobile Works Group Corp, PR China.); Bowen Ren (Department of Computer Application Technology, Changchun University of Technology, PR China.); Xiangdong Hao (Department of Computer Application Technology, Changchun University of Technology, PR China.)",,Neural networks : the official journal of the International Neural Network Society,10.1016/j.neunet.2024.106838,39615156,,"{'text': 'Integral neural networks adopt continuous integral operators instead of conventional discrete convolutional operations to perform deep learning tasks. As this integral operator is the continuous representation of the regular convolutional operation, it is not suitable for representing the separable convolutional operations widely deployed on mobile devices. To address this issue, a separable integral layer composed of a depth-wise integral operator and a point-wise integral operator is proposed in this paper to represent discrete depth-wise and point-wise convolutional operations in continuous manner. According to the fabric units of five classical convolutional neural networks(NIN, VGG11, GoogleNet, ResNet18, ResNet50), we design five kinds of separable integral blocks(SIBs) to encapsulate separable integral layers in different manner. Using the proposed SIBs as basic blocks, a family of lightweight separable integral neural networks(SINNs) are constructed and deployed on resource-constrained mobile devices. SINNs have the characteristics of integral neural networks, i.e., performing structural pruning without fine-tuning, and also inherit the advantages of separable convolutional operations, i.e., reducing the computational cost while keeping a competitive performance. The experimental results show that SINNs achieve the similar performance with the state-of-the-art integral neural networks(INNs), while reducing the computational cost to up to 1/1.79 times that of INN(1.74× fewer parameters than INN using ResNet101 backbone framework) on ImageNet dataset. The code will be released at https://github.com/ljh3832-ccut/SINN.', 'structured': []}",0,pubmed
Graph neural networks in histopathology: Emerging trends and future directions.,"Siemen Brussee (Leiden University Medical Center, Albinusdreef 2, 2333 ZA, Leiden, The Netherlands. Electronic address: s.brussee@lumc.nl.); Giorgio Buzzanca (Leiden University Medical Center, Albinusdreef 2, 2333 ZA, Leiden, The Netherlands.); Anne M R Schrader (Leiden University Medical Center, Albinusdreef 2, 2333 ZA, Leiden, The Netherlands.); Jesper Kers (Leiden University Medical Center, Albinusdreef 2, 2333 ZA, Leiden, The Netherlands; Amsterdam University Medical Center, Meibergdreef 9, 1105 AZ, Amsterdam, The Netherlands.)",,Medical image analysis,10.1016/j.media.2024.103444,39793218,,"{'text': 'Histopathological analysis of whole slide images (WSIs) has seen a surge in the utilization of deep learning methods, particularly Convolutional Neural Networks (CNNs). However, CNNs often fail to capture the intricate spatial dependencies inherent in WSIs. Graph Neural Networks (GNNs) present a promising alternative, adept at directly modeling pairwise interactions and effectively discerning the topological tissue and cellular structures within WSIs. Recognizing the pressing need for deep learning techniques that harness the topological structure of WSIs, the application of GNNs in histopathology has experienced rapid growth. In this comprehensive review, we survey GNNs in histopathology, discuss their applications, and explore emerging trends that pave the way for future advancements in the field. We begin by elucidating the fundamentals of GNNs and their potential applications in histopathology. Leveraging quantitative literature analysis, we explore four emerging trends: Hierarchical GNNs, Adaptive Graph Structure Learning, Multimodal GNNs, and Higher-order GNNs. Through an in-depth exploration of these trends, we offer insights into the evolving landscape of GNNs in histopathological analysis. Based on our findings, we propose future directions to propel the field forward. Our analysis serves to guide researchers and practitioners towards innovative approaches and methodologies, fostering advancements in histopathological analysis through the lens of graph neural networks.', 'structured': []}",0,pubmed
Advancing drug discovery with deep attention neural networks.,"Antonio Lavecchia (Drug Discovery Laboratory, Department of Pharmacy, University of Napoli Federico II, I-80131 Naples, Italy. Electronic address: antonio.lavecchia@unina.it.)",,Drug discovery today,10.1016/j.drudis.2024.104067,38925473,,"{'text': 'In the dynamic field of drug discovery, deep attention neural networks are revolutionizing our approach to complex data. This review explores the attention mechanism and its extended architectures, including graph attention networks (GATs), transformers, bidirectional encoder representations from transformers (BERT), generative pre-trained transformers (GPTs) and bidirectional and auto-regressive transformers (BART). Delving into their core principles and multifaceted applications, we uncover their pivotal roles in catalyzing de novo drug design, predicting intricate molecular properties and deciphering elusive drug-target interactions. Despite challenges, these attention-based architectures hold unparalleled promise to drive transformative breakthroughs and accelerate progress in pharmaceutical research.', 'structured': []}",0,pubmed
Transforming clinical cardiology through neural networks and deep learning: A guide for clinicians.,"Henry Sutanto (Department of Internal Medicine, Faculty of Medicine, Universitas Airlangga, Surabaya, Indonesia. Electronic address: henry.sutanto-2022@fk.unair.ac.id.)",,Current problems in cardiology,10.1016/j.cpcardiol.2024.102454,38342351,,"{'text': ""The rapid evolution of neural networks and deep learning has revolutionized various fields, with clinical cardiology being no exception. As traditional methods in cardiology encounter limitations, the integration of advanced computational techniques offers unprecedented opportunities in diagnostics and patient care. This review explores the transformative role of neural networks and deep learning in clinical cardiology, particularly focusing on their applications in electrocardiogram (ECG) analysis, imaging technologies, and cardiac prediction models. Among others, Deep Neural Networks (DNNs) have significantly surpassed traditional approaches in accuracy and efficiency in automatic ECG diagnosis. Convolutional Neural Networks (CNNs) are successfully applied in PET/CT and PET/MR imaging, enhancing diagnostic capabilities. Furthermore, deep learning algorithms have shown potential in improving cardiac prediction models, although challenges in interpretability and clinical integration remain. The review also addresses the 'black box' nature of neural networks and the ethical considerations surrounding their use in clinical settings. Overall, this review underscores the significant impact of neural networks and deep learning in cardiology, providing insights into current applications and future directions in the field."", 'structured': []}",0,pubmed
Image Sensing and Processing with Convolutional Neural Networks.,"Sonya Coleman (School of Computing, Engineering and Intelligent Systems, Ulster University, Londonderry BT48 7JL, UK.); Dermot Kerr (School of Computing, Engineering and Intelligent Systems, Ulster University, Londonderry BT48 7JL, UK.); Yunzhou Zhang (College of Information Science and Engineering, Northeastern University, Shenyang 110819, China.)",,"Sensors (Basel, Switzerland)",10.3390/s21062132,35632021,,"{'text': 'Convolutional neural networks are a class of deep neural networks that leverage spatial information, and they are therefore well suited to classifying images for a range of applications [...].', 'structured': []}",0,pubmed
Neural networks.,M F Jefferson (N/A); N Pendleton (N/A); S Lucas (N/A); M A Horan (N/A),,"Lancet (London, England)",,8551860,,"{'text': '', 'structured': []}",0,pubmed
An overview of neural networks for drug discovery and the inputs used.,"Yinqiu Xu (a Department of Medicinal Chemistry, School of Pharmacy , China Pharmaceutical University , Nanjing , China.); Hequan Yao (a Department of Medicinal Chemistry, School of Pharmacy , China Pharmaceutical University , Nanjing , China.); Kejiang Lin (a Department of Medicinal Chemistry, School of Pharmacy , China Pharmaceutical University , Nanjing , China.)",,Expert opinion on drug discovery,10.1080/17460441.2018.1547278,30449189,,"{'text': '', 'structured': []}",0,pubmed
Rethinking arithmetic for deep neural networks.,"G A Constantinides (EEE Department, Imperial College London, London, UK.)",,"Philosophical transactions. Series A, Mathematical, physical, and engineering sciences",10.1613/jair.105,31955685,,"{'text': 'We consider efficiency in the implementation of deep neural networks. Hardware accelerators are gaining interest as machine learning becomes one of the drivers of high-performance computing. In these accelerators, the directed graph describing a neural network can be implemented as a directed graph describing a Boolean circuit. We make this observation precise, leading naturally to an understanding of practical neural networks as discrete functions, and show that the so-called ', 'structured': []}",0,pubmed
Convergence of deep convolutional neural networks.,"Yuesheng Xu (Department of Mathematics & Statistics, Old Dominion University, Norfolk, VA 23529, USA. Electronic address: y1xu@odu.edu.); Haizhang Zhang (School of Mathematics (Zhuhai), Sun Yat-sen University, Zhuhai, PR China. Electronic address: zhhaizh2@sysu.edu.cn.)",,Neural networks : the official journal of the International Neural Network Society,10.1016/j.neunet.2022.06.031,35839599,,"{'text': 'Convergence of deep neural networks as the depth of the networks tends to infinity is fundamental in building the mathematical foundation for deep learning. In a previous study, we investigated this question for deep networks with the Rectified Linear Unit (ReLU) activation function and with a fixed width. This does not cover the important convolutional neural networks where the widths are increased from layer to layer. For this reason, we first study convergence of general ReLU networks with increased widths and then apply the results obtained to deep convolutional neural networks. It turns out the convergence reduces to convergence of infinite products of matrices with increased sizes, which has not been considered in the literature. We establish sufficient conditions for convergence of such infinite products of matrices. Based on the conditions, we present sufficient conditions for pointwise convergence of general deep ReLU networks with increasing widths, and as well as pointwise convergence of deep ReLU convolutional neural networks.', 'structured': []}",0,pubmed
Neural networks are useful tools for drug design.,"G Schneider (F. Hoffmann-La Roche Ltd., Pharmaceuticals Research, Basel, Switzerland. gisbert.schneider@roche.com)",,Neural networks : the official journal of the International Neural Network Society,10.1016/s0893-6080(99)00094-5,10935454,,"{'text': 'A profound understanding of molecular recognition processes and the underlying molecular interaction patterns is a prerequisite for future progress and success in rational drug design. Neural networks could play an important role in guiding the Drug Discovery process through the extraction of relevant molecular features.', 'structured': []}",0,pubmed
Optical computing powers graph neural networks.,Kaida Tang (N/A); Jianwei Chen (N/A); Huaqing Jiang (N/A); Jun Chen (N/A); Shangzhong Jin (N/A); Ran Hao (N/A),,Applied optics,10.1364/AO.475991,36607108,,"{'text': 'Graph-based neural networks have promising perspectives but are limited by electronic bottlenecks. Our work explores the advantages of optical neural networks in the graph domain. We propose an optical graph neural network (OGNN) based on inverse-designed optical processing units (OPUs) to classify graphs with optics. The OPUs, combined with two types of optical components, can perform multiply-accumulate, matrix-vector multiplication, and matrix-matrix multiplication operations. The proposed OGNN can classify typical non-Euclidean MiniGCDataset graphs and successfully predict 1000 test graphs with 100% accuracy. The OPU-formed optical-electrical graph attention network is also scalable to handle more complex graph data, such as the Cora dataset, with 89.0% accuracy.', 'structured': []}",0,pubmed
The capacity of feedforward neural networks.,"Pierre Baldi (Department of Computer Science, University of California, Irvine, United States. Electronic address: pfbaldi@uci.edu.); Roman Vershynin (Department of Mathematics, University of California, Irvine, United States. Electronic address: rvershyn@uci.edu.)",,Neural networks : the official journal of the International Neural Network Society,10.1016/j.neunet.2019.04.009,31125915,,"{'text': 'A long standing open problem in the theory of neural networks is the development of quantitative methods to estimate and compare the capabilities of different architectures. Here we define the capacity of an architecture by the binary logarithm of the number of functions it can compute, as the synaptic weights are varied. The capacity provides an upperbound on the number of bits that can be extracted from the training data and stored in the architecture during learning. We study the capacity of layered, fully-connected, architectures of linear threshold neurons with L layers of size n', 'structured': []}",0,pubmed
Spiking neural networks take control.,"Travis DeWolf (Applied Brain Research Inc., Toronto, Ontario, Canada. Email: travis.dewolf@appliedbrainresearch.com.)",,Science robotics,10.1126/scirobotics.abk3268,34516751,,"{'text': 'Brain-inspired neural network architecture overcomes unsolved classical control theory problem for telerobotics.', 'structured': []}",0,pubmed
Augmenting Recurrent Neural Networks Resilience by Dropout.,Davide Bacciu (N/A); Francesco Crecchi (N/A),,IEEE transactions on neural networks and learning systems,10.1109/TNNLS.2019.2899744,30892245,,"{'text': 'This brief discusses the simple idea that dropout regularization can be used to efficiently induce resiliency to missing inputs at prediction time in a generic neural network. We show how the approach can be effective on tasks where imputation strategies often fail, namely, involving recurrent neural networks and scenarios where whole sequences of input observations are missing. The experimental analysis provides an assessment of the accuracy-resiliency tradeoff in multiple recurrent models, including reservoir computing methods, and comprising real-world ambient intelligence and biomedical time series.', 'structured': []}",0,pubmed
Deep neural networks and humans both benefit from compositional language structure.,"Lukas Galke (Department of Mathematics and Computer Science, University of Southern Denmark, Odense, Denmark. galke@imada.sdu.dk.); Yoav Ram (School of Zoology, Faculty of Life Sciences, Tel Aviv University, Tel Aviv, Israel.); Limor Raviv (LEADS group, Max Planck Institute for Psycholinguistics, Nijmegen, Netherlands.)",,Nature communications,10.1038/s41467-024-55158-1,39738033,,"{'text': 'Deep neural networks drive the success of natural language processing. A fundamental property of language is its compositional structure, allowing humans to systematically produce forms for new meanings. For humans, languages with more compositional and transparent structures are typically easier to learn than those with opaque and irregular structures. However, this learnability advantage has not yet been shown for deep neural networks, limiting their use as models for human language learning. Here, we directly test how neural networks compare to humans in learning and generalizing different languages that vary in their degree of compositional structure. We evaluate the memorization and generalization capabilities of a large language model and recurrent neural networks, and show that both deep neural networks exhibit a learnability advantage for more structured linguistic input: neural networks exposed to more compositional languages show more systematic generalization, greater agreement between different agents, and greater similarity to human learners.', 'structured': []}",0,pubmed
Editorial introduction to the Neural Networks special issue on Deep Learning of Representations.,Yoshua Bengio (N/A); Honglak Lee (N/A),,Neural networks : the official journal of the International Neural Network Society,10.1016/j.neunet.2014.12.006,25595998,,"{'text': '', 'structured': []}",0,pubmed
Quaternion Spiking and Quaternion Quantum Neural Networks: Theory and Applications.,"Eduardo Bayro-Corrochano (Department of Electrical Engineering and Computer Science, CINVESTAV Guadalajara, México.); Samuel Solis-Gamboa (Department of Electrical Engineering and Computer Science, CINVESTAV Guadalajara, México.); Guillermo Altamirano-Escobedo (Department of Electrical Engineering and Computer Science, CINVESTAV Guadalajara, México.); Luis Lechuga-Gutierres (Department of Electrical Engineering and Computer Science, CINVESTAV Guadalajara, México.); Jorge Lisarraga-Rodriguez (Department of Electrical Engineering and Computer Science, CINVESTAV Guadalajara, México.)",,International journal of neural systems,10.1142/S0129065720500598,32938264,,"{'text': 'Biological evidence shows that there are neural networks specialized for recognition of signals and patterns acting as associative memories. The spiking neural networks are another kind which receive input from a broad range of other brain areas to produce output that selects particular cognitive or motor actions to perform. An important contribution of this work is to consider the geometric processing in the modeling of feed-forward neural networks. Since quaternions are well suited to represent 3D rotations, it is then well justified to extend real-valued neural networks to quaternion-valued neural networks for task of perception and control of robot manipulators. This work presents the quaternion spiking neural networks which are able to control robots, where the examples confirm that these artificial neurons have the capacity to adapt on-line the robot to reach the desired position. Also, we present the quaternionic quantum neural networks for pattern recognition using just one quaternion neuron. In the experimental analysis, we show the excellent performance of both quaternion neural networks.', 'structured': []}",0,pubmed
O(2) -Valued Hopfield Neural Networks.,Masaki Kobayashi (N/A),,IEEE transactions on neural networks and learning systems,10.1109/TNNLS.2019.2897994,30843853,,"{'text': 'In complex-valued Hopfield neural networks (CHNNs), the neuron states are complex numbers whose amplitudes are: 1) they can also be described in special orthogonal matrices of order and 2) here, we propose a new Hopfield model, the O(2) -valued Hopfield neural network [ O(2) -HNN], whose neuron states are extended to orthogonal matrices. Its neuron states are embedded in 4-D space, while those of CHNNs are embedded in 2-D space. Computer simulations were conducted to compare the noise tolerance (NT) and storage capacity (SC) of CHNNs, O(2) -HNNs, and rotor Hopfield neural networks. In terms of SC, O(2) -HNNs outperformed the others, while in NT, they outdid CHNNs.', 'structured': []}",0,pubmed
Neural networks: what are they?,M R Guerriere (N/A); A S Detsky (N/A),,Annals of internal medicine,10.7326/0003-4819-115-11-906,1952481,,"{'text': '', 'structured': []}",0,pubmed
Riemannian Curvature of Deep Neural Networks.,Piyush Kaul (N/A); Brejesh Lall (N/A),,IEEE transactions on neural networks and learning systems,10.1109/TNNLS.2019.2919705,31251199,,"{'text': 'We analyze deep neural networks using the theory of Riemannian geometry and curvature. The objective is to gain insight into how Riemannian geometry can characterize and predict the trained behavior of neural networks. We define a method for calculating Riemann and Ricci curvature tensors, and Ricci scalar curvature values for a trained neural net, in such a way that the output classifier softmax values are related to the input transformations, through the curvature equations. We also measure these curvature tensors experimentally for different networks which are pretrained with stochastic gradient descent and offer a way of visualizing and understanding the measurements to gain insight into the effect curvature has on behavior the neural networks locally, and possibly predict their behavior for different transformations of the test data. We also analyze the effect of variation in depth of the neural networks as well as how it behaves for different choices of data set.', 'structured': []}",0,pubmed
Multiscale Conditional Regularization for Convolutional Neural Networks.,Yao Lu (N/A); Guangming Lu (N/A); Jinxing Li (N/A); Yuanrong Xu (N/A); Zheng Zhang (N/A); David Zhang (N/A),,IEEE transactions on cybernetics,10.1109/TCYB.2020.2979968,32248140,,"{'text': 'With the increased model size of convolutional neural networks (CNNs), overfitting has become the main bottleneck to further improve the performance of networks. Currently, the weighting regularization methods have been proposed to address the overfitting problem and they perform satisfactorily. Since these regularization methods cannot be used in all the networks and they are usually not flexible enough in different phases of the training and test processes, this article proposes a multiscale conditional (MSC) regularization method. MSC divides the intermediate features into different scales and then generates new data for each scale features, respectively. In addition, the new data are generated by employing the information from two conditions: 1) each sample feature and 2) each layer pattern. Finally, a self-identity structure is proposed to supplement the features with the generated data. Therefore, MSC can adaptively and efficiently generate much finer and individualized data to make the entire regularization more flexible. Furthermore, MSC is more general and can be applied to all kinds of networks through the proposed self-identity structure. The experimental results on all the benchmark datasets showed that the proposed MSC regularization method achieves the best performances in all the networks.', 'structured': []}",0,pubmed
Towards Deeper Neural Networks for Neonatal Seizure Detection.,Aengus Daly (N/A); Alison O'Shea (N/A); Gordon Lightbody (N/A); Andriy Temko (N/A),,Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference,10.1109/EMBC46164.2021.9629485,34891440,,"{'text': 'Machine learning and more recently deep learning have become valuable tools in clinical decision making for neonatal seizure detection. This work proposes a deep neural network architecture which is capable of extracting information from long segments of EEG. Residual connections as well as data augmentation and a more robust optimizer are efficiently exploited to train a deeper architecture with an increased receptive field and longer EEG input. The proposed system is tested on a large clinical dataset of 4,570 hours of duration and benchmarked on a publicly available Helsinki dataset of 112 hours duration. The performance has improved from an AUC of 95.41% to an AUC of 97.73% when compared to a deep learning baseline.', 'structured': []}",0,pubmed
An adaptive device for AI neural networks.,"Rohit Abraham John (Department of Chemistry and Applied Biosciences, Institute of Inorganic Chemistry, ETH Zürich, CH-8093 Zürich, Switzerland.)",,"Science (New York, N.Y.)",10.1126/science.abn6196,35113694,,"{'text': '[Figure: see text].', 'structured': []}",0,pubmed
Could deep learning in neural networks improve the QSAR models?,"G Gini (DEIB, Politecnico di Milano, Milan, Italy.); F Zanoli (DEIB, Politecnico di Milano, Milan, Italy.); A Gamba (Istituto di Ricerche Farmacologiche Mario Negri IRCCS, Laboratory of Environmental Chemistry and Toxicology, Milan, Italy.); G Raitano (Istituto di Ricerche Farmacologiche Mario Negri IRCCS, Laboratory of Environmental Chemistry and Toxicology, Milan, Italy.); E Benfenati (Istituto di Ricerche Farmacologiche Mario Negri IRCCS, Laboratory of Environmental Chemistry and Toxicology, Milan, Italy.)",,SAR and QSAR in environmental research,10.1080/1062936X.2019.1650827,31460798,,"{'text': 'Assessing chemical toxicity is a multidisciplinary process, traditionally involving in vivo, in vitro and in silico tests. Currently, toxicological goal is to reduce new tests on chemicals, exploiting all information yet available. Recent advancements in machine learning and deep neural networks allow computers to automatically mine patterns and learn from data. This technology, applied to (Q)SAR model development, leads to discover by learning the structural-chemical-biological relationships and the emergent properties. Starting from Toxception, a deep neural network predicting activity from the chemical graph image, we designed SmilesNet, a recurrent neural network taking SMILES as the only input. We then integrated the two networks into C-Tox network to make the final classification. Results of our networks, trained on a ~20K molecule dataset with Ames test experimental values, match or even outperform the current state of the art. We also extract knowledge from the networks and compare it with the available mutagenic structural alerts. The advantage over traditional QSAR modelling is that our models automatically extract the features without using descriptors. Nevertheless, the model is successful if large numbers of examples are provided and computation is more complex than in classical methods.', 'structured': []}",0,pubmed
The Use of Deep Learning and Neural Networks in Imaging: Welcome to the New Mathematical Milieu of Medicine.,"Irvin M Modlin (Yale University School of Medicine, New Haven, Connecticut, USA, imodlin@irvinmodlin.com.); Mark Kidd (Wren Laboratories, Branford, Connecticut, USA.); Ignat A Drozdov (Wren Laboratories, Branford, Connecticut, USA.); Lisa Bodei (Memorial Sloan Kettering Cancer Center, New York, New York, USA.)",,Neuroendocrinology,10.1159/000504605,31694034,,"{'text': '', 'structured': []}",0,pubmed
Graph Neural Networks for ADHD Identification in Children.,"Runxuan Yu (Vanderbilt University, Nashville, TN, USA.); Xinmeng Zhang (Vanderbilt University, Nashville, TN, USA.); You Chen (Vanderbilt University, Nashville, TN, USA.)",,Studies in health technology and informatics,10.3233/SHTI251208,40776225,,"{'text': ""Attention-Deficit/Hyperactivity Disorder (ADHD) is a common neurodevelopmental disorder requiring early, accurate diagnosis for timely intervention. We evaluated GraphSAGE, a Graph Neural Network, against XGBoost using data from 42,041 children in the 2022 National Survey of Children's Health. GraphSAGE outperformed XGBoost (F1 score: 0.8331 vs. 0.8241)."", 'structured': []}",0,pubmed
Efficient Approximation of High-Dimensional Functions With Neural Networks.,Patrick Cheridito (N/A); Arnulf Jentzen (N/A); Florian Rossmannek (N/A),,IEEE transactions on neural networks and learning systems,10.1109/TNNLS.2021.3049719,33513112,,"{'text': 'In this article, we develop a framework for showing that neural networks can overcome the curse of dimensionality in different high-dimensional approximation problems. Our approach is based on the notion of a catalog network, which is a generalization of a standard neural network in which the nonlinear activation functions can vary from layer to layer as long as they are chosen from a predefined catalog of functions. As such, catalog networks constitute a rich family of continuous functions. We show that under appropriate conditions on the catalog, catalog networks can efficiently be approximated with rectified linear unit-type networks and provide precise estimates on the number of parameters needed for a given approximation accuracy. As special cases of the general results, we obtain different classes of functions that can be approximated with recitifed linear unit networks without the curse of dimensionality.', 'structured': []}",0,pubmed
Neural networks.,D F Signorini (N/A); J M Slattery (N/A),,"Lancet (London, England)",,7491032,,"{'text': '', 'structured': []}",0,pubmed
Neural networks.,L Tarassenko (N/A),,"Lancet (London, England)",,8551861,,"{'text': '', 'structured': []}",0,pubmed
Moving sampling physics-informed neural networks induced by moving mesh PDE.,"Yu Yang (School of Mathematics, Sichuan University, 610065, Chengdu, China. Electronic address: yangyu1@stu.scu.edu.cn.); Qihong Yang (School of Mathematics, Sichuan University, 610065, Chengdu, China. Electronic address: yangqh@stu.scu.edu.cn.); Yangtao Deng (School of Mathematics, Sichuan University, 610065, Chengdu, China. Electronic address: ytdeng1998@foxmail.com.); Qiaolin He (School of Mathematics, Sichuan University, 610065, Chengdu, China. Electronic address: qlhejenny@scu.edu.cn.)",,Neural networks : the official journal of the International Neural Network Society,10.1016/j.neunet.2024.106706,39270348,,"{'text': 'In this work, we propose an end-to-end adaptive sampling framework based on deep neural networks and the moving mesh method (MMPDE-Net), which can adaptively generate new sampling points by solving the moving mesh PDE. This model focuses on improving the quality of sampling points generation. Moreover, we develop an iterative algorithm based on MMPDE-Net, which makes sampling points distribute more precisely and controllably. Since MMPDE-Net is independent of the deep learning solver, we combine it with physics-informed neural networks (PINN) to propose moving sampling PINN (MS-PINN) and show the error estimate of our method under some assumptions. Finally, we demonstrate the performance improvement of MS-PINN compared to PINN through numerical experiments of four typical examples, which numerically verify the effectiveness of our method.', 'structured': []}",0,pubmed
Quantized Convolutional Neural Networks Robustness under Perturbation.,"Jack Langille (Department of Engineering Mathematics and Internetworking, Dalhousie University, Halifax, Nova Scotia, Canada.); Issam Hammad (Department of Engineering Mathematics and Internetworking, Dalhousie University, Halifax, Nova Scotia, Canada.); Guy Kember (Department of Engineering Mathematics and Internetworking, Dalhousie University, Halifax, Nova Scotia, Canada.)",,F1000Research,10.1109/TNET.2021.3137084,40308295,,"{'text': ""Contemporary machine learning models are increasingly becoming restricted by size and subsequent operations per forward pass, demanding increasing compute requirements. Quantization has emerged as a convenient approach to addressing this, in which weights and activations are mapped from their conventionally used floating-point 32-bit numeric representations to lower precision integers. This process introduces significant reductions in inference time and simplifies the hardware requirements. It is a well-studied result that the performance of such reduced precision models is congruent with their floating-point counterparts. However, there is a lack of literature that addresses the performance of quantized models in a perturbed input space, as is common when stress testing regular full-precision models, particularly for real-world deployments. We focus on addressing this gap in the context of 8-bit quantized convolutional neural networks (CNNs). We study three state-of-the-art CNNs: ResNet-18, VGG-16, and SqueezeNet1_1, and subject their floating point and fixed point forms to various noise regimes with varying intensities. We characterize performance in terms of traditional metrics, including top-1 and top-5 accuracy, as well as the F1 score. We also introduce a new metric, the Kullback-Liebler divergence of the two output distributions for a given floating-point/fixed-point model pair, as a means to examine how the model's output distribution has changed as a result of quantization, which, we contend, can be interpreted as a proxy for model similarity in decision making. We find that across all three models and under each perturbation scheme, the relative error between the quantized and full-precision model was consistently low. We also find that Kullback-Liebler divergence was on the same order of magnitude as the unperturbed tests across all perturbation regimes except Brownian noise, where significant divergences were observed for VGG-16 and SqueezeNet1_1."", 'structured': []}",0,pubmed
